month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,"4,390.69","2,727.52","3,949.39","2,248.10","3,051.55","1,853.01","4,196.08","3,199.95","1,990.26","3,792.00","2,753.23","3,497.38","3,706.48","3,442.75","2,905.53","3,891.15","2,032.55","2,923.24","3,319.13","4,372.01","3,611.28","2,529.30","3,100.43","4,144.28"
2,"4,255.25","3,695.11","3,349.28","3,041.02","2,817.05","1,848.95","4,206.93","3,460.33","2,417.28","3,608.76","2,590.01","2,598.12","3,320.78","3,041.92","2,422.33","3,376.98","2,341.76","2,576.42","3,142.86","4,359.39","3,719.56","3,745.63","2,643.95","4,044.59"
3,"3,799.47","3,677.09","3,020.52","3,480.06","3,121.16","3,368.71","3,819.17","3,401.54","2,209.88","3,904.53","2,827.08","2,999.54","2,978.36","3,354.28","2,082.38","3,151.27","2,829.89","3,406.96","2,887.56","4,413.08","3,646.35","3,789.01","2,970.91","3,668.02"
4,"4,164.49","3,202.15","3,325.46","3,728.38","3,569.11","4,151.08","3,741.07","3,979.27","2,738.58","3,520.81","3,005.25","3,461.37","3,903.50","3,451.94","3,192.17","3,318.03","2,838.59","3,817.18","2,668.53","4,314.95","3,748.59","3,267.68","3,874.23","3,739.24"
5,"3,395.11","4,078.54","4,084.91","3,815.09","3,438.21","3,950.82","3,328.69","3,099.08","3,067.17","3,519.88","2,599.35","4,283.22","3,704.24","2,374.00","3,613.34","3,631.87","2,941.03","3,954.43","2,937.15","4,088.72","3,779.38","3,264.00","3,939.36","4,254.28"
6,"2,557.96","3,478.74","3,782.13","2,818.84","3,194.65","3,028.34","2,985.45","2,433.68","2,618.31","2,891.09","2,310.88","3,341.23","2,771.13","2,479.23","3,394.63","2,825.77","2,334.43","3,493.07","3,074.82","3,458.30","3,362.33","2,675.66","3,094.24","3,807.39"
7,"2,316.37","2,620.14","2,766.98","2,173.01","2,316.33","2,290.92","2,494.20","2,000.64","1,957.79","2,233.59","2,105.35","2,644.06","2,207.33","2,181.05","2,585.28","2,129.72","1,966.59","2,807.45","2,522.65","2,860.01","2,533.50","2,009.12","2,408.76","3,429.01"
8,"2,288.49","2,092.54","2,386.36","2,000.67","2,239.84","2,122.41","2,241.91","1,908.24","1,705.47","1,991.91","2,110.31","2,369.11","2,040.16","2,154.71","2,162.15","1,857.53","1,879.21","2,376.13","2,209.30","2,422.92","2,294.51","2,034.24","2,035.27",
9,"2,009.06","1,893.58","2,158.68","2,059.06","1,995.85","2,006.88","2,045.63","1,908.92","1,662.55","2,010.92","2,093.68","2,267.84","2,038.51","2,297.38","1,891.28","1,970.24","1,901.19","2,199.26","2,180.89","2,467.41","2,293.43","2,143.66","2,560.54",
10,"1,772.24","1,733.02","2,088.16","2,115.65","1,825.74","1,778.45","1,887.49","2,132.28","1,525.38","2,029.72","1,978.85","2,596.04","1,958.92","2,399.57","1,839.30","1,884.16","2,170.63","2,085.83","2,206.91","2,237.64","2,157.81","1,909.51","2,321.29",
11,"2,536.12","2,559.43","1,936.73","2,334.88","1,959.61","2,037.32","1,775.92","2,743.90","2,069.89","1,946.90","2,799.11","2,998.08","1,956.99","2,186.69","3,077.03","2,048.43","2,398.04","2,075.56","2,700.09","2,789.18","2,044.80","1,937.75","3,150.38",
12,"2,315.02","2,915.40","1,969.07","2,646.63","1,762.93","3,871.05","2,639.15","2,377.95","2,607.87","2,559.78","3,770.20","2,983.32","2,826.36","2,605.82","4,266.46","2,287.38","2,552.92","2,974.64","3,923.92","3,303.73","2,033.22","2,347.35","4,257.60",